<DATE>,<TIME>,Open,High,Low,Close,Volume
20120725,110000,609.2800000,610.0200000,605.3700000,606.0000000,255629
20120725,120000,606.1000000,608.6500000,605.5200000,606.7800000,132915
20120725,130000,607.1200000,609.2500000,607.0900000,608.7600000,116560
20120725,140000,608.7700000,613.3800000,608.6100000,612.6000000,291781
20120725,150000,612.7200000,613.3200000,610.8700000,612.0800000,152806
20120725,160000,612.1240000,612.7300000,607.2600000,608.0000000,327399
20120726,100000,614.9200000,616.7900000,613.9000000,613.9200000,314726
20120726,110000,614.1400000,616.8700000,612.8000000,613.5780000,376508
20120726,120000,613.6000000,614.4200000,610.0300000,611.8100000,184525
20120726,130000,611.7000000,615.0000000,611.2700000,614.4900000,157842
20120726,140000,614.3700000,615.4900000,613.2110000,613.5300000,147684
20120726,150000,613.4700000,615.1400000,612.9300000,614.6500000,96516
20120726,160000,614.6100000,615.2000000,613.1100000,613.3500000,290373
20120727,100000,619.3900000,619.9000000,617.5000000,619.8020000,376991
20120727,110000,619.8300000,624.4800000,619.0000000,624.1300000,518446
20120727,120000,624.3200000,625.0200000,624.0100000,624.4600000,418503
20120727,130000,624.5450000,628.5200000,624.2000000,628.0000000,389722
20120727,140000,628.0000000,632.6300000,627.2200000,630.2000000,464488
20120727,150000,629.9600000,632.8800000,629.1600000,632.8448000,478296
20120727,160000,632.6638000,635.0000000,632.5900000,634.9900000,676460
20120730,100000,636.7400000,642.6000000,635.9010000,638.5880000,447803
20120730,110000,638.7500000,638.7500000,631.0000000,631.5000000,629873
20120730,120000,631.5000000,633.2920000,630.0000000,631.5337000,189921
20120730,130000,631.7000000,632.9800000,629.5000000,631.8800000,149905
20120730,140000,631.8000000,632.5500000,630.9700000,631.6460000,105782
20120730,150000,631.7300000,634.2400000,631.4100000,633.6300000,132571
20120730,160000,633.5700000,634.2000000,630.7880000,632.3100000,274942
20120731,100000,628.2600000,635.5900000,628.2200000,635.2500000,348302
20120731,110000,635.2200000,636.5000000,631.4800000,632.7600000,319705
20120731,120000,632.7000000,634.9000000,631.7800000,632.8300000,156186
20120731,130000,632.9600000,632.9600000,629.3700000,632.0000000,151787
20120731,140000,632.0000000,633.3800000,631.5892000,632.8300000,103248
20120731,150000,632.8400000,634.3000000,632.5900000,632.9800000,125254
20120731,160000,632.5900000,634.8180000,631.9000000,632.9400000,447483
20120801,100000,637.3000000,639.5084000,636.1600000,637.0000000,420585
20120801,110000,637.0000000,638.3099000,635.3500000,637.1100000,337549
20120801,120000,637.1500000,637.3800000,634.8200000,635.1500000,125178
20120801,130000,634.9400000,636.6300000,634.1000000,635.1000000,109645
20120801,140000,635.1160000,636.4100000,634.5200000,635.5200000,134493
20120801,150000,635.5200000,635.6200000,631.3800000,634.1700000,300662
20120801,160000,634.0980000,635.2700000,632.1300000,632.6800000,303207
20120802,100000,625.5100000,636.1400000,623.4100000,635.5000000,370911
20120802,110000,635.2500000,638.0300000,631.7000000,634.7700000,358080
20120802,120000,634.9450000,635.6100000,627.4300000,628.0800000,330069
20120802,130000,628.0500000,628.4900000,625.3201000,625.8900000,181154
20120802,140000,625.8000000,626.3000000,624.3900000,624.5700000,127581
20120802,150000,624.5200000,628.4200000,623.9100000,628.0800000,165364
20120802,160000,627.9300000,629.6500000,627.3020000,628.6200000,330032
20120803,100000,640.0000000,640.2000000,636.1400000,639.9200000,336098
20120803,110000,639.9200000,643.7200000,639.2700000,642.6800000,457871
20120803,120000,642.8200000,643.5000000,641.8500000,642.5480000,200874
20120803,130000,642.6300000,643.0700000,641.0720000,641.8500000,150512
20120803,140000,641.8300000,641.9800000,640.8700000,641.1200000,91119
20120803,150000,641.1300000,642.4300000,641.1300000,641.8300000,118194
20120803,160000,641.8800000,642.4400000,639.3600000,641.3800000,429274
20120806,100000,639.4000000,644.2300000,639.2200000,643.7950000,247802
20120806,110000,643.8700000,649.3800000,643.8700000,648.4100000,380050
20120806,120000,648.4600000,648.9498000,646.3100000,647.0000000,185480
